epoch: 23000, KL = 0.0958, logLKH = -3.9801, prob_sum = 0.2837, lr = 0.0024347
epoch: 23100, KL = 0.0961, logLKH = -3.9848, prob_sum = 0.3026, lr = 0.0024342
epoch: 23200, KL = 0.0978, logLKH = -4.0084, prob_sum = 0.2946, lr = 0.0024336
epoch: 23300, KL = 0.0982, logLKH = -4.0134, prob_sum = 0.2969, lr = 0.0024331
epoch: 23400, KL = 0.1005, logLKH = -4.0459, prob_sum = 0.3114, lr = 0.0024325
epoch: 23500, KL = 0.0957, logLKH = -3.9786, prob_sum = 0.3036, lr = 0.0024319
epoch: 23600, KL = 0.1010, logLKH = -4.0528, prob_sum = 0.2915, lr = 0.0024313
epoch: 23700, KL = 0.1076, logLKH = -4.1460, prob_sum = 0.2899, lr = 0.0024308
epoch: 23800, KL = 0.1142, logLKH = -4.2380, prob_sum = 0.3024, lr = 0.0024302
epoch: 23900, KL = 0.1081, logLKH = -4.1531, prob_sum = 0.3026, lr = 0.0024296
epoch: 24000, KL = 0.0900, logLKH = -3.8997, prob_sum = 0.2980, lr = 0.0024290
epoch: 24100, KL = 0.0961, logLKH = -3.9838, prob_sum = 0.3002, lr = 0.0024284
epoch: 24200, KL = 0.0940, logLKH = -3.9555, prob_sum = 0.3067, lr = 0.0024279
epoch: 24300, KL = 0.0890, logLKH = -3.8848, prob_sum = 0.3083, lr = 0.0024273
epoch: 24400, KL = 0.0894, logLKH = -3.8903, prob_sum = 0.3115, lr = 0.0024267
epoch: 24500, KL = 0.0912, logLKH = -3.9152, prob_sum = 0.3115, lr = 0.0024261
epoch: 24600, KL = 0.0932, logLKH = -3.9436, prob_sum = 0.3166, lr = 0.0024255
epoch: 24700, KL = 0.0907, logLKH = -3.9093, prob_sum = 0.3157, lr = 0.0024249
epoch: 24800, KL = 0.0885, logLKH = -3.8775, prob_sum = 0.3169, lr = 0.0024243
epoch: 24900, KL = 0.0898, logLKH = -3.8958, prob_sum = 0.3133, lr = 0.0024237
epoch: 25000, KL = 0.0891, logLKH = -3.8861, prob_sum = 0.3120, lr = 0.0024231
epoch: 25100, KL = 0.0906, logLKH = -3.9074, prob_sum = 0.3239, lr = 0.0024225
epoch: 25200, KL = 0.0905, logLKH = -3.9061, prob_sum = 0.3289, lr = 0.0024219
epoch: 25300, KL = 0.0863, logLKH = -3.8479, prob_sum = 0.3212, lr = 0.0024213
epoch: 25400, KL = 0.0933, logLKH = -3.9453, prob_sum = 0.3328, lr = 0.0024206
epoch: 25500, KL = 0.0880, logLKH = -3.8715, prob_sum = 0.3160, lr = 0.0024200
epoch: 25600, KL = 0.0879, logLKH = -3.8697, prob_sum = 0.3143, lr = 0.0024194
