epoch 26100: KL = 0.0967, logLKH = -3.9931, prob_sum = 0.2737, lr = 0.0020000
epoch 26200: KL = 0.0968, logLKH = -3.9938, prob_sum = 0.2707, lr = 0.0020000
epoch 26300: KL = 0.0961, logLKH = -3.9850, prob_sum = 0.2697, lr = 0.0020000
epoch 26400: KL = 0.0957, logLKH = -3.9787, prob_sum = 0.2703, lr = 0.0020000
epoch 26500: KL = 0.0952, logLKH = -3.9720, prob_sum = 0.2769, lr = 0.0020000
epoch 26600: KL = 0.0946, logLKH = -3.9638, prob_sum = 0.2787, lr = 0.0020000
epoch 26700: KL = 0.0944, logLKH = -3.9613, prob_sum = 0.2812, lr = 0.0020000
epoch 26800: KL = 0.0942, logLKH = -3.9576, prob_sum = 0.2822, lr = 0.0020000
epoch 26900: KL = 0.0936, logLKH = -3.9500, prob_sum = 0.2814, lr = 0.0020000
epoch 27000: KL = 0.0933, logLKH = -3.9446, prob_sum = 0.2832, lr = 0.0020000
epoch 27100: KL = 0.0931, logLKH = -3.9422, prob_sum = 0.2843, lr = 0.0020000
epoch 27200: KL = 0.0930, logLKH = -3.9409, prob_sum = 0.2842, lr = 0.0020000
epoch 27300: KL = 0.0926, logLKH = -3.9348, prob_sum = 0.2892, lr = 0.0020000
epoch 27400: KL = 0.0920, logLKH = -3.9266, prob_sum = 0.2885, lr = 0.0020000
epoch 27500: KL = 0.0918, logLKH = -3.9237, prob_sum = 0.2890, lr = 0.0020000
epoch 27600: KL = 0.0914, logLKH = -3.9182, prob_sum = 0.2876, lr = 0.0020000
epoch 27700: KL = 0.0912, logLKH = -3.9159, prob_sum = 0.2880, lr = 0.0020000
epoch 27800: KL = 0.0913, logLKH = -3.9179, prob_sum = 0.2900, lr = 0.0020000
epoch 27900: KL = 0.0908, logLKH = -3.9096, prob_sum = 0.2918, lr = 0.0020000
epoch 28000: KL = 0.0902, logLKH = -3.9024, prob_sum = 0.2930, lr = 0.0020000
epoch 28100: KL = 0.0901, logLKH = -3.9001, prob_sum = 0.2915, lr = 0.0020000
epoch 28200: KL = 0.0894, logLKH = -3.8913, prob_sum = 0.2933, lr = 0.0020000
epoch 28300: KL = 0.0892, logLKH = -3.8878, prob_sum = 0.2957, lr = 0.0020000
epoch 28400: KL = 0.0888, logLKH = -3.8821, prob_sum = 0.2964, lr = 0.0020000
