epoch 22300: KL = 0.0377, logLKH = -3.1667, prob_sum = 0.5982, lr = 0.0250000
epoch 22400: KL = 0.0377, logLKH = -3.1662, prob_sum = 0.5974, lr = 0.0250000
epoch 22500: KL = 0.0377, logLKH = -3.1675, prob_sum = 0.5984, lr = 0.0250000
epoch 22600: KL = 0.0377, logLKH = -3.1663, prob_sum = 0.5975, lr = 0.0250000
epoch 22700: KL = 0.0372, logLKH = -3.1594, prob_sum = 0.6001, lr = 0.0250000
epoch 22800: KL = 0.0368, logLKH = -3.1542, prob_sum = 0.6015, lr = 0.0250000
epoch 22900: KL = 0.0370, logLKH = -3.1571, prob_sum = 0.6015, lr = 0.0250000
epoch 23000: KL = 0.0366, logLKH = -3.1508, prob_sum = 0.6024, lr = 0.0250000
epoch 23100: KL = 0.0361, logLKH = -3.1449, prob_sum = 0.6037, lr = 0.0250000
epoch 23200: KL = 0.0372, logLKH = -3.1593, prob_sum = 0.6034, lr = 0.0250000
epoch 23300: KL = 0.0361, logLKH = -3.1451, prob_sum = 0.6070, lr = 0.0250000
epoch 23400: KL = 0.0360, logLKH = -3.1435, prob_sum = 0.6066, lr = 0.0250000
epoch 23500: KL = 0.0364, logLKH = -3.1483, prob_sum = 0.6059, lr = 0.0250000
epoch 23600: KL = 0.0382, logLKH = -3.1735, prob_sum = 0.6067, lr = 0.0250000
epoch 23700: KL = 0.0358, logLKH = -3.1397, prob_sum = 0.6098, lr = 0.0250000
epoch 23800: KL = 0.0360, logLKH = -3.1425, prob_sum = 0.6072, lr = 0.0250000
epoch 23900: KL = 0.0367, logLKH = -3.1522, prob_sum = 0.6070, lr = 0.0250000
epoch 24000: KL = 0.0360, logLKH = -3.1430, prob_sum = 0.6102, lr = 0.0250000
epoch 24100: KL = 0.0368, logLKH = -3.1538, prob_sum = 0.6099, lr = 0.0250000
epoch 24200: KL = 0.0352, logLKH = -3.1321, prob_sum = 0.6116, lr = 0.0250000
epoch 24300: KL = 0.0357, logLKH = -3.1388, prob_sum = 0.6120, lr = 0.0250000
epoch 24400: KL = 0.0352, logLKH = -3.1314, prob_sum = 0.6133, lr = 0.0250000
epoch 24500: KL = 0.0357, logLKH = -3.1382, prob_sum = 0.6115, lr = 0.0250000
epoch 24600: KL = 0.0353, logLKH = -3.1338, prob_sum = 0.6147, lr = 0.0250000
epoch 24700: KL = 0.0357, logLKH = -3.1383, prob_sum = 0.6154, lr = 0.0250000
epoch 24800: KL = 0.0355, logLKH = -3.1358, prob_sum = 0.6143, lr = 0.0250000
epoch 24900: KL = 0.0351, logLKH = -3.1308, prob_sum = 0.6165, lr = 0.0250000
epoch 25000: KL = 0.0355, logLKH = -3.1356, prob_sum = 0.6161, lr = 0.0250000
epoch 25100: KL = 0.0349, logLKH = -3.1275, prob_sum = 0.6170, lr = 0.0250000
epoch 25200: KL = 0.0344, logLKH = -3.1211, prob_sum = 0.6183, lr = 0.0250000
epoch 25300: KL = 0.0350, logLKH = -3.1295, prob_sum = 0.6185, lr = 0.0250000
epoch 25400: KL = 0.0345, logLKH = -3.1217, prob_sum = 0.6198, lr = 0.0250000
epoch 25500: KL = 0.0345, logLKH = -3.1225, prob_sum = 0.6191, lr = 0.0250000
epoch 25600: KL = 0.0343, logLKH = -3.1192, prob_sum = 0.6208, lr = 0.0250000
epoch 25700: KL = 0.0345, logLKH = -3.1214, prob_sum = 0.6209, lr = 0.0250000
epoch 25800: KL = 0.0343, logLKH = -3.1195, prob_sum = 0.6230, lr = 0.0250000
epoch 25900: KL = 0.0348, logLKH = -3.1267, prob_sum = 0.6211, lr = 0.0250000
epoch 26000: KL = 0.0343, logLKH = -3.1194, prob_sum = 0.6222, lr = 0.0250000
epoch 26100: KL = 0.0338, logLKH = -3.1116, prob_sum = 0.6242, lr = 0.0250000
epoch 26200: KL = 0.0340, logLKH = -3.1156, prob_sum = 0.6244, lr = 0.0250000
epoch 26300: KL = 0.0336, logLKH = -3.1089, prob_sum = 0.6268, lr = 0.0250000
epoch 26400: KL = 0.0349, logLKH = -3.1277, prob_sum = 0.6281, lr = 0.0250000
epoch 26500: KL = 0.0347, logLKH = -3.1249, prob_sum = 0.6256, lr = 0.0250000
epoch 26600: KL = 0.0336, logLKH = -3.1088, prob_sum = 0.6276, lr = 0.0250000
epoch 26700: KL = 0.0345, logLKH = -3.1217, prob_sum = 0.6266, lr = 0.0250000
epoch 26800: KL = 0.0334, logLKH = -3.1071, prob_sum = 0.6285, lr = 0.0250000
epoch 26900: KL = 0.0337, logLKH = -3.1102, prob_sum = 0.6293, lr = 0.0250000
epoch 27000: KL = 0.0333, logLKH = -3.1058, prob_sum = 0.6295, lr = 0.0250000
epoch 27100: KL = 0.0335, logLKH = -3.1078, prob_sum = 0.6292, lr = 0.0250000
epoch 27200: KL = 0.0330, logLKH = -3.1017, prob_sum = 0.6302, lr = 0.0250000
epoch 27300: KL = 0.0330, logLKH = -3.1006, prob_sum = 0.6327, lr = 0.0250000
epoch 27400: KL = 0.0333, logLKH = -3.1047, prob_sum = 0.6312, lr = 0.0250000
epoch 27500: KL = 0.0330, logLKH = -3.1012, prob_sum = 0.6328, lr = 0.0250000
epoch 27600: KL = 0.0331, logLKH = -3.1022, prob_sum = 0.6332, lr = 0.0250000
epoch 27700: KL = 0.0332, logLKH = -3.1041, prob_sum = 0.6328, lr = 0.0250000
epoch 27800: KL = 0.0334, logLKH = -3.1073, prob_sum = 0.6327, lr = 0.0250000
epoch 27900: KL = 0.0327, logLKH = -3.0967, prob_sum = 0.6356, lr = 0.0250000
epoch 28000: KL = 0.0337, logLKH = -3.1105, prob_sum = 0.6382, lr = 0.0250000
epoch 28100: KL = 0.0326, logLKH = -3.0955, prob_sum = 0.6369, lr = 0.0250000
epoch 28200: KL = 0.0326, logLKH = -3.0955, prob_sum = 0.6362, lr = 0.0250000
epoch 28300: KL = 0.0329, logLKH = -3.1003, prob_sum = 0.6372, lr = 0.0250000
epoch 28400: KL = 0.0330, logLKH = -3.1007, prob_sum = 0.6367, lr = 0.0250000
