epoch:161 ==>  KL = [0.20549307], logLKH = [-5.51596034], prob_sum = 0.0666, time = 0.09s
epoch:162 ==>  KL = [0.20523032], logLKH = [-5.51228184], prob_sum = 0.0669, time = 0.09s
epoch:163 ==>  KL = [0.20481944], logLKH = [-5.50652942], prob_sum = 0.0671, time = 0.09s
epoch:164 ==>  KL = [0.20413455], logLKH = [-5.49694102], prob_sum = 0.0672, time = 0.09s
epoch:165 ==>  KL = [0.20397976], logLKH = [-5.49477391], prob_sum = 0.0674, time = 0.09s
epoch:166 ==>  KL = [0.20405914], logLKH = [-5.49588531], prob_sum = 0.0677, time = 0.09s
epoch:167 ==>  KL = [0.20364339], logLKH = [-5.4900648], prob_sum = 0.0683, time = 0.09s
epoch:168 ==>  KL = [0.20342053], logLKH = [-5.48694477], prob_sum = 0.0686, time = 0.09s
epoch:169 ==>  KL = [0.20336458], logLKH = [-5.48616139], prob_sum = 0.0686, time = 0.09s
epoch:170 ==>  KL = [0.20336732], logLKH = [-5.48619975], prob_sum = 0.0686, time = 0.09s
epoch:171 ==>  KL = [0.20315525], logLKH = [-5.48323081], prob_sum = 0.0688, time = 0.09s
epoch:172 ==>  KL = [0.20335877], logLKH = [-5.48608005], prob_sum = 0.0692, time = 0.09s
epoch:173 ==>  KL = [0.20324436], logLKH = [-5.48447841], prob_sum = 0.0696, time = 0.09s
epoch:174 ==>  KL = [0.20270527], logLKH = [-5.47693112], prob_sum = 0.0699, time = 0.09s
epoch:175 ==>  KL = [0.20269306], logLKH = [-5.47676019], prob_sum = 0.0705, time = 0.09s
epoch:176 ==>  KL = [0.2021709], logLKH = [-5.46944988], prob_sum = 0.0710, time = 0.09s
epoch:177 ==>  KL = [0.2020686], logLKH = [-5.46801766], prob_sum = 0.0712, time = 0.09s
epoch:178 ==>  KL = [0.20180726], logLKH = [-5.46435901], prob_sum = 0.0713, time = 0.09s
epoch:179 ==>  KL = [0.20046526], logLKH = [-5.44557097], prob_sum = 0.0710, time = 0.09s
epoch:180 ==>  KL = [0.19983549], logLKH = [-5.43675413], prob_sum = 0.0712, time = 0.09s
epoch:181 ==>  KL = [0.19954676], logLKH = [-5.43271195], prob_sum = 0.0714, time = 0.09s
epoch:182 ==>  KL = [0.19912245], logLKH = [-5.42677169], prob_sum = 0.0717, time = 0.09s
epoch:183 ==>  KL = [0.19910393], logLKH = [-5.42651232], prob_sum = 0.0721, time = 0.09s
epoch:184 ==>  KL = [0.19895618], logLKH = [-5.42444388], prob_sum = 0.0726, time = 0.09s
epoch:185 ==>  KL = [0.19887316], logLKH = [-5.42328151], prob_sum = 0.0730, time = 0.09s
epoch:186 ==>  KL = [0.19946596], logLKH = [-5.43158081], prob_sum = 0.0736, time = 0.09s
epoch:187 ==>  KL = [0.1993284], logLKH = [-5.42965496], prob_sum = 0.0739, time = 0.09s
epoch:188 ==>  KL = [0.19865005], logLKH = [-5.42015803], prob_sum = 0.0740, time = 0.09s
epoch:189 ==>  KL = [0.19785975], logLKH = [-5.40909384], prob_sum = 0.0740, time = 0.10s
epoch:190 ==>  KL = [0.19716159], logLKH = [-5.39931959], prob_sum = 0.0742, time = 0.10s
epoch:191 ==>  KL = [0.19699196], logLKH = [-5.39694475], prob_sum = 0.0747, time = 0.10s
epoch:192 ==>  KL = [0.1968294], logLKH = [-5.39466892], prob_sum = 0.0752, time = 0.09s
epoch:193 ==>  KL = [0.19684098], logLKH = [-5.39483109], prob_sum = 0.0757, time = 0.09s
epoch:194 ==>  KL = [0.19671484], logLKH = [-5.39306506], prob_sum = 0.0759, time = 0.09s
epoch:195 ==>  KL = [0.19612967], logLKH = [-5.38487271], prob_sum = 0.0758, time = 0.09s
epoch:196 ==>  KL = [0.19587644], logLKH = [-5.38132756], prob_sum = 0.0761, time = 0.09s
epoch:197 ==>  KL = [0.1955837], logLKH = [-5.3772292], prob_sum = 0.0764, time = 0.09s
epoch:198 ==>  KL = [0.19533833], logLKH = [-5.37379393], prob_sum = 0.0766, time = 0.10s
epoch:199 ==>  KL = [0.19526487], logLKH = [-5.37276549], prob_sum = 0.0766, time = 0.10s
epoch:200 ==>  KL = [0.19541422], logLKH = [-5.37485645], prob_sum = 0.0769, time = 0.09s
epoch:201 ==>  KL = [0.19576276], logLKH = [-5.37973601], prob_sum = 0.0775, time = 0.09s
epoch:202 ==>  KL = [0.1952178], logLKH = [-5.3721066], prob_sum = 0.0780, time = 0.09s
epoch:203 ==>  KL = [0.19417762], logLKH = [-5.35754396], prob_sum = 0.0783, time = 0.09s
epoch:204 ==>  KL = [0.19337573], logLKH = [-5.34631754], prob_sum = 0.0785, time = 0.09s
