epoch:234 ==>  KL = [0.29034784], logLKH = [-6.70392715], prob_sum = 0.0271, time = 0.05s
epoch:235 ==>  KL = [0.29008178], logLKH = [-6.70020219], prob_sum = 0.0271, time = 0.05s
epoch:236 ==>  KL = [0.28988317], logLKH = [-6.69742171], prob_sum = 0.0272, time = 0.05s
epoch:237 ==>  KL = [0.28976186], logLKH = [-6.69572332], prob_sum = 0.0273, time = 0.05s
epoch:238 ==>  KL = [0.28948532], logLKH = [-6.69185175], prob_sum = 0.0273, time = 0.05s
epoch:239 ==>  KL = [0.28912148], logLKH = [-6.68675801], prob_sum = 0.0274, time = 0.04s
epoch:240 ==>  KL = [0.28877908], logLKH = [-6.68196449], prob_sum = 0.0274, time = 0.05s
epoch:241 ==>  KL = [0.28848567], logLKH = [-6.67785673], prob_sum = 0.0275, time = 0.05s
epoch:242 ==>  KL = [0.28814202], logLKH = [-6.67304563], prob_sum = 0.0275, time = 0.05s
epoch:243 ==>  KL = [0.28789333], logLKH = [-6.66956389], prob_sum = 0.0275, time = 0.04s
epoch:244 ==>  KL = [0.28761666], logLKH = [-6.66569051], prob_sum = 0.0275, time = 0.04s
epoch:245 ==>  KL = [0.28738627], logLKH = [-6.66246514], prob_sum = 0.0276, time = 0.04s
epoch:246 ==>  KL = [0.28716838], logLKH = [-6.65941464], prob_sum = 0.0276, time = 0.04s
epoch:247 ==>  KL = [0.28707166], logLKH = [-6.65806055], prob_sum = 0.0277, time = 0.05s
epoch:248 ==>  KL = [0.28692155], logLKH = [-6.65595897], prob_sum = 0.0277, time = 0.05s
epoch:249 ==>  KL = [0.2867789], logLKH = [-6.65396189], prob_sum = 0.0277, time = 0.04s
epoch:250 ==>  KL = [0.28656467], logLKH = [-6.65096269], prob_sum = 0.0278, time = 0.04s
epoch:251 ==>  KL = [0.28631546], logLKH = [-6.64747374], prob_sum = 0.0279, time = 0.04s
epoch:252 ==>  KL = [0.28604851], logLKH = [-6.64373648], prob_sum = 0.0279, time = 0.05s
epoch:253 ==>  KL = [0.28575043], logLKH = [-6.63956328], prob_sum = 0.0279, time = 0.05s
epoch:254 ==>  KL = [0.28551049], logLKH = [-6.63620425], prob_sum = 0.0279, time = 0.04s
epoch:255 ==>  KL = [0.28532926], logLKH = [-6.63366693], prob_sum = 0.0280, time = 0.04s
epoch:256 ==>  KL = [0.28526217], logLKH = [-6.63272778], prob_sum = 0.0280, time = 0.04s
epoch:257 ==>  KL = [0.28513041], logLKH = [-6.63088313], prob_sum = 0.0280, time = 0.05s
epoch:258 ==>  KL = [0.28488952], logLKH = [-6.62751061], prob_sum = 0.0280, time = 0.05s
epoch:259 ==>  KL = [0.2846681], logLKH = [-6.62441079], prob_sum = 0.0281, time = 0.04s
epoch:260 ==>  KL = [0.2845467], logLKH = [-6.62271116], prob_sum = 0.0281, time = 0.04s
epoch:261 ==>  KL = [0.2843033], logLKH = [-6.61930359], prob_sum = 0.0281, time = 0.04s
epoch:262 ==>  KL = [0.28403503], logLKH = [-6.61554773], prob_sum = 0.0282, time = 0.05s
epoch:263 ==>  KL = [0.2838131], logLKH = [-6.61244075], prob_sum = 0.0282, time = 0.04s
epoch:264 ==>  KL = [0.28364803], logLKH = [-6.6101297], prob_sum = 0.0282, time = 0.04s
