epoch:15000 ==>  KL = [0.01942084], logLKH = [-2.91094913], prob_sum = 0.8051, time = 0.04s
epoch:15100 ==>  KL = [0.01970894], logLKH = [-2.91498251], prob_sum = 0.8077, time = 0.04s
epoch:15200 ==>  KL = [0.0190716], logLKH = [-2.90605974], prob_sum = 0.8098, time = 0.04s
epoch:15300 ==>  KL = [0.01796412], logLKH = [-2.89055503], prob_sum = 0.8109, time = 0.04s
epoch:15400 ==>  KL = [0.0175517], logLKH = [-2.88478118], prob_sum = 0.8121, time = 0.04s
epoch:15500 ==>  KL = [0.0187969], logLKH = [-2.9022139], prob_sum = 0.8151, time = 0.04s
epoch:15600 ==>  KL = [0.01957818], logLKH = [-2.91315187], prob_sum = 0.8171, time = 0.04s
epoch:15700 ==>  KL = [0.01847489], logLKH = [-2.89770583], prob_sum = 0.8179, time = 0.04s
epoch:15800 ==>  KL = [0.01932336], logLKH = [-2.9095843], prob_sum = 0.8205, time = 0.04s
epoch:15900 ==>  KL = [0.01705408], logLKH = [-2.87781445], prob_sum = 0.8210, time = 0.04s
epoch:16000 ==>  KL = [0.01735101], logLKH = [-2.88197147], prob_sum = 0.8223, time = 0.04s
epoch:16100 ==>  KL = [0.01712264], logLKH = [-2.87877423], prob_sum = 0.8234, time = 0.04s
epoch:16200 ==>  KL = [0.01753524], logLKH = [-2.88455064], prob_sum = 0.8258, time = 0.04s
epoch:16300 ==>  KL = [0.01752261], logLKH = [-2.8843738], prob_sum = 0.8274, time = 0.04s
epoch:16400 ==>  KL = [0.01758877], logLKH = [-2.88530011], prob_sum = 0.8291, time = 0.04s
epoch:16500 ==>  KL = [0.0165745], logLKH = [-2.87110039], prob_sum = 0.8305, time = 0.04s
epoch:16600 ==>  KL = [0.01794223], logLKH = [-2.89024862], prob_sum = 0.8325, time = 0.04s
epoch:16700 ==>  KL = [0.0193662], logLKH = [-2.91018408], prob_sum = 0.8353, time = 0.04s
epoch:16800 ==>  KL = [0.01916122], logLKH = [-2.90731441], prob_sum = 0.8365, time = 0.04s
epoch:16900 ==>  KL = [0.01954269], logLKH = [-2.91265503], prob_sum = 0.8384, time = 0.04s
epoch:17000 ==>  KL = [0.01854251], logLKH = [-2.89865248], prob_sum = 0.8394, time = 0.04s
epoch:17100 ==>  KL = [0.01744364], logLKH = [-2.88326833], prob_sum = 0.8403, time = 0.04s
epoch:17200 ==>  KL = [0.02001402], logLKH = [-2.91925357], prob_sum = 0.8433, time = 0.04s
epoch:17300 ==>  KL = [0.01669165], logLKH = [-2.87274045], prob_sum = 0.8427, time = 0.04s
epoch:17400 ==>  KL = [0.01633536], logLKH = [-2.86775233], prob_sum = 0.8437, time = 0.04s
epoch:17500 ==>  KL = [0.01734778], logLKH = [-2.88192621], prob_sum = 0.8452, time = 0.04s
epoch:17600 ==>  KL = [0.01799285], logLKH = [-2.89095726], prob_sum = 0.8472, time = 0.04s
epoch:17700 ==>  KL = [0.01948749], logLKH = [-2.9118822], prob_sum = 0.8495, time = 0.04s
epoch:17800 ==>  KL = [0.01971179], logLKH = [-2.91502233], prob_sum = 0.8503, time = 0.04s
epoch:17900 ==>  KL = [0.01831975], logLKH = [-2.89553389], prob_sum = 0.8506, time = 0.04s
